Method name,Discovered Diff eq.,MSE of Diff eq. (mean),MSE of Diff eq. (std),MSE of trajectory (mean),MSE of trajectory (std),R^2 trajectory score (mean),R^2 trajectory score (std),Out-of-sample R^2 score (mean),Out-of-sample R^2 score (std),Solver Status,MSE of Diff eq.,MSE of trajectory,R^2 trajectory score,Out-of-sample R^2 score
"Exp. Decay: LLM-SR, Noise Level 1",dy/dt = -0.2999 * y,5.2284665303419686e-08,0.0,1.6186690863956325e-06,0.0,0.9999997582419123,1.3597399555105182e-16,0.9999997582667705,0.0,All integrations successful,5.2285e-08 ± 0.0000e+00,1.6187e-06 ± 0.0000e+00,1.0000 ± 0.0000,1.0000 ± 0.0000
"Exp. Decay: LLM-SR, Noise Level 2",dy/dt = -0.2986 * y,0.0024393327119142222,0.0008140049185350795,0.0040564010568340395,0.004473961857517301,0.9993941517940308,0.0006682134549749918,0.9993941519589717,0.0006682132241726249,All integrations successful,2.4393e-03 ± 8.1400e-04,4.0564e-03 ± 4.4740e-03,0.9994 ± 0.0007,0.9994 ± 0.0007
"Exp. Decay: LLM-SR, Noise Level 3",dy/dt = -0.3757 * exp(+ 0.2401 * y),0.27913297692482886,0.3516443821728339,0.4055399637339658,0.5077027389902222,0.9394301362132084,0.0758284965596923,0.645009917375486,0.16578851272584713,1 failure(s): Solver failure: Required step size is less than spacing between numbers.,2.7913e-01 ± 3.5164e-01,4.0554e-01 ± 5.0770e-01,0.9394 ± 0.0758,0.6450 ± 0.1658
"Log Growth: LLM-SR, Noise Level 1",dP/dt = 1.0986 * P * (1.0 - P / 1000.0173),0.006087514898114345,1.0622968402425924e-18,0.1183989867020309,1.6996749443881478e-17,0.9999953549089011,0.0,0.9999972872509958,0.0,All integrations successful,6.0875e-03 ± 1.0623e-18,1.1840e-01 ± 1.6997e-17,1.0000 ± 0.0000,1.0000 ± 0.0000
"Log Growth: LLM-SR, Noise Level 2",dP/dt = 1.0718 * P * (1.0 - P / 999.9039),64.25721115034844,11.884746189016887,7.471504914821888,5.536959241147496,0.999706874003386,0.00021722888685413662,0.9995579718079738,0.00033302939879099007,All integrations successful,6.4257e+01 ± 1.1885e+01,7.4715e+00 ± 5.5370e+00,0.9997 ± 0.0002,0.9996 ± 0.0003
"Log Growth: LLM-SR, Noise Level 3",dP/dt = 1.0173 * P * (1.0 - P / 998.3734),265.482665081264,30.794841856865165,98.31874975415381,29.172868491105653,0.9961427072810527,0.0011445252660649589,0.9941695103757437,0.0017205480505177793,All integrations successful,2.6548e+02 ± 3.0795e+01,9.8319e+01 ± 2.9173e+01,0.9961 ± 0.0011,0.9942 ± 0.0017
"Oscillator: LLM-SR, Noise Level 1",d²θ/dt² = -3.2673 * sin(0.9979 * θ),4.573913880720417e-06,0.0,0.00011560423299718094,0.0,0.9999072714515554,0.0,0.9999911392298948,0.0,All integrations successful,4.5739e-06 ± 0.0000e+00,1.1560e-04 ± 0.0000e+00,0.9999 ± 0.0000,1.0000 ± 0.0000
"Oscillator: LLM-SR, Filtered, Noise Level 1",d²θ/dt² = -3.3058 * sin(0.9762 * θ),0.0005061589238333947,0.0,0.0013261425202137267,0.0,0.9989362736316673,0.0,0.9988242218152278,0.0,All integrations successful,5.0616e-04 ± 0.0000e+00,1.3261e-03 ± 0.0000e+00,0.9989 ± 0.0000,0.9988 ± 0.0000
"Oscillator: LLM-SR, Noise Level 2",d²θ/dt² = 2.1746 * θ + -3.8327 * (θ ** 3),6.527495766901819,9.882870948787158,1.016266350662319,1.310124287810563,0.18483172210283924,1.0508778125240146,-0.929488561159828,1.266953054722297,All integrations successful,6.5275e+00 ± 9.8829e+00,1.0163e+00 ± 1.3101e+00,0.1848 ± 1.0509,-0.9295 ± 1.2670
"Oscillator: LLM-SR, Filtered, Noise Level 2",d²θ/dt² = -1.6025 * θ + -1.1708 * (θ ** 3),1.5631332272714051,1.8210822084733012,1.8733956494383381,1.6166787363470791,-0.5026894321330461,1.2967714817696465,0.20039780157793188,0.7857882270838499,All integrations successful,1.5631e+00 ± 1.8211e+00,1.8734e+00 ± 1.6167e+00,-0.5027 ± 1.2968,0.2004 ± 0.7858
"Oscillator: LLM-SR, Noise Level 3",d²θ/dt² = 1.1917 * θ + -2.2200 * (θ ** 3),3.7932450882214224,2.992334927788517,0.7193204100697882,0.9096628022896456,0.42301820821803,0.7296593649157908,-1.316828726006216,0.5089137998817073,All integrations successful,3.7932e+00 ± 2.9923e+00,7.1932e-01 ± 9.0966e-01,0.4230 ± 0.7297,-1.3168 ± 0.5089
"Oscillator: LLM-SR, Filtered, Noise Level 3",d²θ/dt² = 0.4626 * θ + -1.7772 * (θ ** 3),1.3168311316715646,1.3953253168507045,0.6384684664395384,0.8323837880466026,0.48787122594390037,0.6676722678156689,0.2204026555641686,0.7885311089141821,All integrations successful,1.3168e+00 ± 1.3953e+00,6.3847e-01 ± 8.3238e-01,0.4879 ± 0.6677,0.2204 ± 0.7885
