Method name,Discovered Diff eq.,MSE of Diff eq. (mean),MSE of Diff eq. (std),MSE of trajectory (mean),MSE of trajectory (std),R^2 trajectory score (mean),R^2 trajectory score (std),Out-of-sample R^2 score (mean),Out-of-sample R^2 score (std),Solver Status,MSE of Diff eq.,MSE of trajectory,R^2 trajectory score,Out-of-sample R^2 score
"Exp. Decay: PySR, Noise Level 1",(pt + exp(exp((pt - 1*8.51415)*1.9316754))*(-1.6437837e-9) + exp(exp(-1*(-0.066783905) + 0.34909138/(pt*pt*pt)))*5.323675e-11)*(-0.30001226),2.5269185973804236e-06,9.859060349439528e-09,2.4464655667987597e-06,0.0,0.9999996346054658,0.0,,0.0,"5 failure(s): Numerical instability: FloatingPointError (overflow encountered in exp), Numerical instability: FloatingPointError (underflow encountered in exp)",2.5269e-06 ± 9.8591e-09,2.4465e-06 ± 0.0000e+00,1.0000 ± 0.0000,NaN
"Exp. Decay: PySINDy, Noise Level 1",['-0.300 nt'],1.8002761060585348e-09,0.0,9.27019610378258e-09,0.0,0.9999999986154396,1.3597399555105182e-16,0.9999999986154396,1.3597399555105182e-16,All integrations successful,1.8003e-09 ± 0.0000e+00,9.2702e-09 ± 0.0000e+00,1.0000 ± 0.0000,1.0000 ± 0.0000
"Exp. Decay: PySR, Noise Level 2",pt*(-0.29860064),0.00243306342078812,0.0008136674970273159,0.004029987562723252,0.004483237012406326,0.9993980968102648,0.0006695987558540455,0.9993980969753414,0.0006695985246382016,All integrations successful,2.4331e-03 ± 8.1367e-04,4.0300e-03 ± 4.4832e-03,0.9994 ± 0.0007,0.9994 ± 0.0007
"Exp. Decay: PySINDy, Noise Level 2",['-0.113 1 + -0.278 nt'],0.008215788705901556,0.007703443508111302,0.02832235664316259,0.032217928332524674,0.9957698835197345,0.00481194384056754,0.9960010144393426,0.005679871262481436,All integrations successful,8.2158e-03 ± 7.7034e-03,2.8322e-02 ± 3.2218e-02,0.9958 ± 0.0048,0.9960 ± 0.0057
"Exp. Decay: PySR, Noise Level 3",pt*(-0.31783935),0.863991009084741,1.0882772250052342,0.09962114766949554,0.1414760735194178,0.9851209747886066,0.02113031333154291,-3.0974616463480635,7.0881010039911905,All integrations successful,8.6399e-01 ± 1.0883e+00,9.9621e-02 ± 1.4148e-01,0.9851 ± 0.0211,-3.0975 ± 7.0881
"Exp. Decay: PySINDy, Noise Level 3",['-0.341 nt'],0.10101554944988651,0.13697165938140646,0.13510064959110157,0.14145690161888907,0.979821895065789,0.021127449891420104,0.9527834468158366,0.06251622700549239,All integrations successful,1.0102e-01 ± 1.3697e-01,1.3510e-01 ± 1.4146e-01,0.9798 ± 0.0211,0.9528 ± 0.0625
"Log Growth: PySR, Noise Level 1",pt*(pt*(-0.001096463) + exp(7.571362 - 0.09711374*pt) + 1.0964938),0.7025369376701955,0.009973137224609071,0.2660240143675842,0.11285062099252367,0.9999895632064458,4.427414707512645e-06,0.8615556436882993,0.11619671221564158,All integrations successful,7.0254e-01 ± 9.9731e-03,2.6602e-01 ± 1.1285e-01,1.0000 ± 0.0000,0.8616 ± 0.1162
"Log Growth: PySINDy, Noise Level 1",[' 0.004 1 +  1.097 pt + -0.001 pt^2'],0.03333135326304293,0.0,0.17097707868022385,0.0,0.9999932921376405,0.0,0.9999899452852546,0.0,All integrations successful,3.3331e-02 ± 0.0000e+00,1.7098e-01 ± 0.0000e+00,1.0000 ± 0.0000,1.0000 ± 0.0000
"Log Growth: PySR, Noise Level 2",pt*(1.0717329 - 0.0010718356*pt),64.25739300961858,11.884452985543875,7.498676042186161,5.553768978244135,0.999705808011477,0.0002178883752698568,0.9995563003162543,0.00033404871703319046,All integrations successful,6.4257e+01 ± 1.1884e+01,7.4987e+00 ± 5.5538e+00,0.9997 ± 0.0002,0.9996 ± 0.0003
"Log Growth: PySINDy, Noise Level 2",[' 0.004 1 +  1.070 pt + -0.001 pt^2'],64.4733466151868,11.866451092814257,80.25620499891293,60.00485770412771,0.9968513465034214,0.0023541420258328533,0.999387300682755,0.0005130107756199186,All integrations successful,6.4473e+01 ± 1.1866e+01,8.0256e+01 ± 6.0005e+01,0.9969 ± 0.0024,0.9994 ± 0.0005
"Log Growth: PySR, Noise Level 3",pt*(1.0173281 + pt*(-0.0010189855)),552.0232063592306,501.7686675055239,611.3494312497206,861.292271616291,0.9760152187066183,0.03379066980101337,0.9362661676180255,0.09863056223590282,All integrations successful,5.5202e+02 ± 5.0177e+02,6.1135e+02 ± 8.6129e+02,0.9760 ± 0.0338,0.9363 ± 0.0986
"Log Growth: PySINDy, Noise Level 3",[' 0.003 1 +  1.004 pt + -0.001 pt^2'],267.61050870841484,32.11995408870645,393.3971464170111,342.24412372940776,0.9845660369733814,0.013427100831376864,0.9938823563458707,0.003698016972455978,All integrations successful,2.6761e+02 ± 3.2120e+01,3.9340e+02 ± 3.4224e+02,0.9846 ± 0.0134,0.9939 ± 0.0037
"Oscillator: PySINDy, Noise Level 1","[' 0.999 omega', '-3.263 sin(theta)']",6.235512575784551e-06,1.0373992580494066e-21,0.00012341281770354617,0.0,0.9999010080241146,0.0,0.9998775551613722,0.0,All integrations successful,6.2355e-06 ± 1.0374e-21,1.2341e-04 ± 0.0000e+00,0.9999 ± 0.0000,0.9999 ± 0.0000
"Oscillator: PySINDy, Filtered, Noise Level 1","[' 0.998 omega', '-3.231 sin(theta)']",0.0007544138356506253,0.0,0.004419848791121752,0.0,0.9964547477880416,0.0,0.9956768903893045,0.0,All integrations successful,7.5441e-04 ± 0.0000e+00,4.4198e-03 ± 0.0000e+00,0.9965 ± 0.0000,0.9957 ± 0.0000
"Oscillator: PySR, Noise Level 1",(cos(1.0723736*th_t)*0.006038363 - 3.265975 - 6.985182e-6/(cos(th_t + cos(th_t)) - 0.21558261))*sin(th_t),6.675475755487847e-06,2.0903718193307118e-07,0.00010316691495509897,6.929394267582711e-06,0.9999172476818257,5.558210589483328e-06,0.999991861523727,1.3758070320891952e-06,All integrations successful,6.6755e-06 ± 2.0904e-07,1.0317e-04 ± 6.9294e-06,0.9999 ± 0.0000,1.0000 ± 0.0000
"Oscillator: PySINDy, Noise Level 2","[' 0.990 omega', '-3.214 sin(theta)']",0.012196603829500005,0.0009733749255355896,2.4664573305158863,4.267007261321631,-0.9783964836709725,3.422654856888005,0.9367658362078416,0.042251105238542495,All integrations successful,1.2197e-02 ± 9.7337e-04,2.4665e+00 ± 4.2670e+00,-0.9784 ± 3.4227,0.9368 ± 0.0423
"Oscillator: PySINDy, Filtered, Noise Level 2","[' 0.992 omega', '-3.215 sin(theta)']",0.004785435862152384,0.0013630250908364093,0.5734122639730024,0.9804195667951441,0.5400541526900368,0.786414830482403,0.9652029501262503,0.01791862514667737,All integrations successful,4.7854e-03 ± 1.3630e-03,5.7341e-01 ± 9.8042e-01,0.5401 ± 0.7864,0.9652 ± 0.0179
"Oscillator: PySR, Noise Level 2",-0.035951637/(th_t + 1.4037346),113.03362270654804,90.57334924673258,8.811671224032986,8.150756143080772,-6.068023901814371,6.537890233583632,-33.58132966786467,56.24739477556319,1 failure(s): Numerical instability: FloatingPointError (underflow encountered in exp),1.1303e+02 ± 9.0573e+01,8.8117e+00 ± 8.1508e+00,-6.0680 ± 6.5379,-33.5813 ± 56.2474
"Oscillator: PySINDy, Noise Level 3","[' 1.022 theta +  0.874 omega + -1.293 sin(theta) +  0.314 sin(omega)', ' 0.857 theta + -4.454 sin(theta)']",0.05006693758670192,0.006431911267958903,1191267.5247238285,2063335.8581480763,-955539.3423630669,1655044.40554768,0.35878113855882926,0.33362142673251843,All integrations successful,5.0067e-02 ± 6.4319e-03,1.1913e+06 ± 2.0633e+06,-955539.3424 ± 1655044.4055,0.3588 ± 0.3336
"Oscillator: PySINDy, Filtered, Noise Level 3","[' 0.776 theta +  0.887 omega + -1.002 sin(theta) +  0.244 sin(omega)', ' 0.748 theta + -4.289 sin(theta)']",0.014781522899564853,0.0030362052806728827,302.1649686408233,522.9572971497521,-241.37277655337246,419.47487393781273,0.5375264992509631,0.39755544210102656,All integrations successful,1.4782e-02 ± 3.0362e-03,3.0216e+02 ± 5.2296e+02,-241.3728 ± 419.4749,0.5375 ± 0.3976
"Oscillator: PySR, Noise Level 3",-0.3578128/sin(th_t*2.0968146),175.03915000506993,75.97000630944895,7.131657501292442,2.9729919064354107,-4.720450116342203,2.3846983529384,-28.559790017102046,25.330590489130294,All integrations successful,1.7504e+02 ± 7.5970e+01,7.1317e+00 ± 2.9730e+00,-4.7205 ± 2.3847,-28.5598 ± 25.3306
